RefEx Sample ID	Description	Number of samples	Sample type category	Tissue	Sub-region	Sex	Age	UBERON ID	UBERON label
RES00002735	Artery - Aorta, F, 50-59	52	tissues	Artery	Aorta	F	50-59	UBERON_0001496	ascending aorta
RES00002736	Heart - Left Ventricle, F, 50-59	73	tissues	Heart	Left Ventricle	F	50-59	UBERON_0006566	left ventricle myocardium
RES00002737	Artery - Coronary, F, 50-59	30	tissues	Artery	Coronary	F	50-59	UBERON_0001621	coronary artery
RES00002738	Small Intestine - Terminal Ileum, F, 50-59	17	tissues	Small Intestine	Terminal Ileum	F	50-59	UBERON_0001211	Peyer's patch
RES00002739	Colon - Transverse, F, 50-59	46	tissues	Colon	Transverse	F	50-59	UBERON_0001157	transverse colon
RES00002740	Colon - Sigmoid, F, 50-59	37	tissues	Colon	Sigmoid	F	50-59	UBERON_0001159	sigmoid colon
RES00002741	Esophagus - Mucosa, F, 50-59	62	tissues	Esophagus	Mucosa	F	50-59	UBERON_0006920	esophagus squamous epithelium
RES00002742	Stomach, F, 50-59	41	tissues	Stomach		F	50-59	UBERON_0000945	stomach
RES00002743	Adrenal Gland, F, 50-59	33	tissues	Adrenal Gland		F	50-59	UBERON_0002369	adrenal gland
RES00002744	Ovary, F, 50-59	62	tissues	Ovary		F	50-59	UBERON_0000992	ovary
RES00002745	Breast - Mammary Tissue, F, 50-59	51	tissues	Breast	Mammary Tissue	F	50-59	UBERON_0008367	breast epithelium
RES00002746	Artery - Tibial, F, 50-59	80	tissues	Artery	Tibial	F	50-59	UBERON_0007610	tibial artery
RES00002747	Adipose - Subcutaneous, F, 50-59	81	tissues	Adipose	Subcutaneous	F	50-59	UBERON_0002190	subcutaneous adipose tissue
RES00002748	Whole Blood, F, 40-49	224	tissues	Whole Blood		F	40-49	UBERON_0013756	venous blood
RES00002749	Cells - Cultured fibroblasts, F, 40-49	41	primary cells	Cells	Cultured fibroblasts	F	40-49	EFO_0002009	fibroblast derived cell line
RES00002750	Skin - Sun Exposed (Lower leg), F, 40-49	59	tissues	Skin	Sun Exposed (Lower leg)	F	40-49	UBERON_0004264	lower leg skin
RES00002751	Adipose - Subcutaneous, F, 40-49	55	tissues	Adipose	Subcutaneous	F	40-49	UBERON_0002190	subcutaneous adipose tissue
RES00002752	Nerve - Tibial, F, 40-49	52	tissues	Nerve	Tibial	F	40-49	UBERON_0001323	tibial nerve
RES00002753	Artery - Tibial, F, 40-49	57	tissues	Artery	Tibial	F	40-49	UBERON_0007610	tibial artery
RES00002754	Skin - Not Sun Exposed (Suprapubic), F, 40-49	41	tissues	Skin	Not Sun Exposed (Suprapubic)	F	40-49	UBERON_0036149	suprapubic skin
RES00002755	Lung, F, 40-49	55	tissues	Lung		F	40-49	UBERON_0008952	upper lobe of left lung
RES00002756	Esophagus - Mucosa, F, 40-49	43	tissues	Esophagus	Mucosa	F	40-49	UBERON_0006920	esophagus squamous epithelium
RES00002757	Pancreas, F, 40-49	30	tissues	Pancreas		F	40-49	UBERON_0001150	body of pancreas
RES00002758	Colon - Transverse, F, 40-49	38	tissues	Colon	Transverse	F	40-49	UBERON_0001157	transverse colon
RES00002759	Breast - Mammary Tissue, F, 40-49	44	tissues	Breast	Mammary Tissue	F	40-49	UBERON_0008367	breast epithelium
RES00002760	Heart - Atrial Appendage, F, 40-49	26	tissues	Heart	Atrial Appendage	F	40-49	UBERON_0006631	right atrium auricular region
RES00002761	Thyroid, F, 40-49	64	tissues	Thyroid		F	40-49	UBERON_0002046	thyroid gland
RES00002762	Artery - Aorta, M, 30-39	26	tissues	Artery	Aorta	M	30-39	UBERON_0001496	ascending aorta
RES00002763	Heart - Atrial Appendage, M, 30-39	11	tissues	Heart	Atrial Appendage	M	30-39	UBERON_0006631	right atrium auricular region
RES00002764	Heart - Left Ventricle, M, 30-39	37	tissues	Heart	Left Ventricle	M	30-39	UBERON_0006566	left ventricle myocardium
RES00002765	Whole Blood, M, 20-29	189	tissues	Whole Blood		M	20-29	UBERON_0013756	venous blood
RES00002766	Cells - Cultured fibroblasts, M, 20-29	31	primary cells	Cells	Cultured fibroblasts	M	20-29	EFO_0002009	fibroblast derived cell line
RES00002767	Thyroid, M, 20-29	43	tissues	Thyroid		M	20-29	UBERON_0002046	thyroid gland
RES00002768	Adrenal Gland, M, 20-29	14	tissues	Adrenal Gland		M	20-29	UBERON_0002369	adrenal gland
RES00002769	Lung, M, 20-29	35	tissues	Lung		M	20-29	UBERON_0008952	upper lobe of left lung
RES00002770	Spleen, M, 20-29	15	tissues	Spleen		M	20-29	UBERON_0002106	spleen
RES00002771	Pancreas, M, 20-29	17	tissues	Pancreas		M	20-29	UBERON_0001150	body of pancreas
RES00002772	Skin - Not Sun Exposed (Suprapubic), M, 20-29	36	tissues	Skin	Not Sun Exposed (Suprapubic)	M	20-29	UBERON_0036149	suprapubic skin
RES00002773	Prostate, M, 20-29	31	tissues	Prostate		M	20-29	UBERON_0002367	prostate gland
RES00002774	Breast - Mammary Tissue, M, 20-29	27	tissues	Breast	Mammary Tissue	M	20-29	UBERON_0008367	breast epithelium
RES00002775	Testis, M, 20-29	38	tissues	Testis		M	20-29	UBERON_0000473	testis
RES00002776	Esophagus - Mucosa, M, 20-29	39	tissues	Esophagus	Mucosa	M	20-29	UBERON_0006920	esophagus squamous epithelium
RES00002777	Esophagus - Muscularis, M, 20-29	42	tissues	Esophagus	Muscularis	M	20-29	UBERON_0004648	esophagus muscularis mucosa
RES00002778	Stomach, M, 20-29	28	tissues	Stomach		M	20-29	UBERON_0000945	stomach
RES00002779	Colon - Transverse, M, 20-29	27	tissues	Colon	Transverse	M	20-29	UBERON_0001157	transverse colon
RES00002780	Small Intestine - Terminal Ileum, M, 20-29	19	tissues	Small Intestine	Terminal Ileum	M	20-29	UBERON_0001211	Peyer's patch
RES00002781	Nerve - Tibial, M, 20-29	45	tissues	Nerve	Tibial	M	20-29	UBERON_0001323	tibial nerve
RES00002782	Muscle - Skeletal, M, 20-29	59	tissues	Muscle	Skeletal	M	20-29	UBERON_0011907	gastrocnemius medialis
RES00002783	Skin - Sun Exposed (Lower leg), M, 20-29	48	tissues	Skin	Sun Exposed (Lower leg)	M	20-29	UBERON_0004264	lower leg skin
RES00002784	Brain - Amygdala, M, 50-59	42	tissues	Brain	Amygdala	M	50-59	UBERON_0001876	amygdala
RES00002785	Testis, M, 40-49	58	tissues	Testis		M	40-49	UBERON_0000473	testis
RES00002786	Heart - Atrial Appendage, M, 40-49	39	tissues	Heart	Atrial Appendage	M	40-49	UBERON_0006631	right atrium auricular region
RES00002787	Heart - Left Ventricle, M, 40-49	71	tissues	Heart	Left Ventricle	M	40-49	UBERON_0006566	left ventricle myocardium
RES00002788	Lung, M, 40-49	104	tissues	Lung		M	40-49	UBERON_0008952	upper lobe of left lung
RES00002789	Kidney - Cortex, M, 40-49	8	tissues	Kidney	Cortex	M	40-49	UBERON_0001225	cortex of kidney
RES00002790	Esophagus - Muscularis, M, 40-49	56	tissues	Esophagus	Muscularis	M	40-49	UBERON_0004648	esophagus muscularis mucosa
RES00002791	Esophagus - Gastroesophageal Junction, M, 40-49	41	tissues	Esophagus	Gastroesophageal Junction	M	40-49	UBERON_0004550	gastroesophageal sphincter
RES00002792	Colon - Transverse, M, 40-49	41	tissues	Colon	Transverse	M	40-49	UBERON_0001157	transverse colon
RES00002793	Thyroid, M, 40-49	76	tissues	Thyroid		M	40-49	UBERON_0002046	thyroid gland
RES00002794	Prostate, M, 40-49	39	tissues	Prostate		M	40-49	UBERON_0002367	prostate gland
RES00002795	Cells - EBV-transformed lymphocytes, M, 60-69	28	primary cells	Cells	EBV-transformed lymphocytes	M	60-69	EFO_0000572	lymphoblast
RES00002796	Brain - Amygdala, M, 60-69	55	tissues	Brain	Amygdala	M	60-69	UBERON_0001876	amygdala
RES00002797	Brain - Spinal cord (cervical c-1), M, 60-69	51	tissues	Brain	Spinal cord (cervical c-1)	M	60-69	UBERON_0006469	C1 segment of cervical spinal cord
RES00002798	Whole Blood, F, 30-39	68	tissues	Whole Blood		F	30-39	UBERON_0013756	venous blood
RES00002799	Cells - Cultured fibroblasts, F, 30-39	15	primary cells	Cells	Cultured fibroblasts	F	30-39	EFO_0002009	fibroblast derived cell line
RES00002800	Thyroid, F, 30-39	17	tissues	Thyroid		F	30-39	UBERON_0002046	thyroid gland
RES00002801	Lung, F, 30-39	22	tissues	Lung		F	30-39	UBERON_0008952	upper lobe of left lung
RES00002802	Artery - Aorta, F, 30-39	14	tissues	Artery	Aorta	F	30-39	UBERON_0001496	ascending aorta
RES00002803	Heart - Atrial Appendage, F, 30-39	8	tissues	Heart	Atrial Appendage	F	30-39	UBERON_0006631	right atrium auricular region
RES00002804	Adipose - Visceral (Omentum), F, 30-39	14	tissues	Adipose	Visceral (Omentum)	F	30-39	UBERON_0010414	omental fat pad
RES00002805	Esophagus - Mucosa, F, 30-39	17	tissues	Esophagus	Mucosa	F	30-39	UBERON_0006920	esophagus squamous epithelium
RES00002806	Esophagus - Muscularis, F, 30-39	18	tissues	Esophagus	Muscularis	F	30-39	UBERON_0004648	esophagus muscularis mucosa
RES00002807	Esophagus - Gastroesophageal Junction, F, 30-39	9	tissues	Esophagus	Gastroesophageal Junction	F	30-39	UBERON_0004550	gastroesophageal sphincter
RES00002808	Colon - Transverse, F, 30-39	16	tissues	Colon	Transverse	F	30-39	UBERON_0001157	transverse colon
RES00002809	Spleen, F, 30-39	9	tissues	Spleen		F	30-39	UBERON_0002106	spleen
RES00002810	Colon - Sigmoid, F, 30-39	14	tissues	Colon	Sigmoid	F	30-39	UBERON_0001159	sigmoid colon
RES00002811	Ovary, F, 30-39	15	tissues	Ovary		F	30-39	UBERON_0000992	ovary
RES00002812	Uterus, F, 30-39	20	tissues	Uterus		F	30-39	UBERON_0000995	uterus
RES00002813	Breast - Mammary Tissue, F, 30-39	17	tissues	Breast	Mammary Tissue	F	30-39	UBERON_0008367	breast epithelium
RES00002814	Minor Salivary Gland, F, 30-39	4	tissues	Minor Salivary Gland		F	30-39	UBERON_0006330	anterior lingual gland
RES00002815	Vagina, F, 30-39	13	tissues	Vagina		F	30-39	UBERON_0000996	vagina
RES00002816	Skin - Not Sun Exposed (Suprapubic), F, 30-39	14	tissues	Skin	Not Sun Exposed (Suprapubic)	F	30-39	UBERON_0036149	suprapubic skin
RES00002817	Skin - Sun Exposed (Lower leg), F, 30-39	17	tissues	Skin	Sun Exposed (Lower leg)	F	30-39	UBERON_0004264	lower leg skin
RES00002818	Adipose - Subcutaneous, F, 30-39	19	tissues	Adipose	Subcutaneous	F	30-39	UBERON_0002190	subcutaneous adipose tissue
RES00002819	Muscle - Skeletal, F, 30-39	26	tissues	Muscle	Skeletal	F	30-39	UBERON_0011907	gastrocnemius medialis
RES00002820	Nerve - Tibial, F, 30-39	18	tissues	Nerve	Tibial	F	30-39	UBERON_0001323	tibial nerve
RES00002821	Artery - Tibial, F, 30-39	15	tissues	Artery	Tibial	F	30-39	UBERON_0007610	tibial artery
RES00002822	Artery - Aorta, M, 20-29	24	tissues	Artery	Aorta	M	20-29	UBERON_0001496	ascending aorta
RES00002823	Adipose - Visceral (Omentum), M, 20-29	30	tissues	Adipose	Visceral (Omentum)	M	20-29	UBERON_0010414	omental fat pad
RES00002824	Esophagus - Gastroesophageal Junction, M, 20-29	26	tissues	Esophagus	Gastroesophageal Junction	M	20-29	UBERON_0004550	gastroesophageal sphincter
RES00002825	Minor Salivary Gland, M, 20-29	11	tissues	Minor Salivary Gland		M	20-29	UBERON_0006330	anterior lingual gland
RES00002826	Colon - Sigmoid, M, 20-29	26	tissues	Colon	Sigmoid	M	20-29	UBERON_0001159	sigmoid colon
RES00002827	Adipose - Subcutaneous, M, 20-29	40	tissues	Adipose	Subcutaneous	M	20-29	UBERON_0002190	subcutaneous adipose tissue
RES00002828	Kidney - Cortex, M, 50-59	27	tissues	Kidney	Cortex	M	50-59	UBERON_0001225	cortex of kidney
RES00002829	Cells - EBV-transformed lymphocytes, M, 20-29	13	primary cells	Cells	EBV-transformed lymphocytes	M	20-29	EFO_0000572	lymphoblast
RES00002830	Heart - Left Ventricle, M, 20-29	22	tissues	Heart	Left Ventricle	M	20-29	UBERON_0006566	left ventricle myocardium
RES00002831	Heart - Atrial Appendage, M, 20-29	10	tissues	Heart	Atrial Appendage	M	20-29	UBERON_0006631	right atrium auricular region
RES00002832	Artery - Coronary, M, 20-29	9	tissues	Artery	Coronary	M	20-29	UBERON_0001621	coronary artery
RES00002833	Liver, M, 20-29	4	tissues	Liver		M	20-29	UBERON_0001114	right lobe of liver
RES00002834	Artery - Tibial, M, 20-29	43	tissues	Artery	Tibial	M	20-29	UBERON_0007610	tibial artery
RES00002835	Brain - Amygdala, F, 60-69	30	tissues	Brain	Amygdala	F	60-69	UBERON_0001876	amygdala
RES00002836	Kidney - Cortex, F, 60-69	9	tissues	Kidney	Cortex	F	60-69	UBERON_0001225	cortex of kidney
RES00002837	Brain - Hippocampus, F, 40-49	9	tissues	Brain	Hippocampus	F	40-49	UBERON_0001954	Ammon's horn
RES00002838	Brain - Substantia nigra, F, 40-49	6	tissues	Brain	Substantia nigra	F	40-49	UBERON_0002038	substantia nigra
RES00002839	Brain - Anterior cingulate cortex (BA24), F, 40-49	8	tissues	Brain	Anterior cingulate cortex (BA24)	F	40-49	UBERON_0009835	anterior cingulate cortex
RES00002840	Brain - Caudate (basal ganglia), F, 40-49	11	tissues	Brain	Caudate (basal ganglia)	F	40-49	UBERON_0001873	caudate nucleus
RES00002841	Muscle - Skeletal, F, 40-49	80	tissues	Muscle	Skeletal	F	40-49	UBERON_0011907	gastrocnemius medialis
RES00002842	Cells - EBV-transformed lymphocytes, F, 40-49	16	primary cells	Cells	EBV-transformed lymphocytes	F	40-49	EFO_0000572	lymphoblast
RES00002843	Spleen, F, 40-49	21	tissues	Spleen		F	40-49	UBERON_0002106	spleen
RES00002844	Stomach, F, 40-49	30	tissues	Stomach		F	40-49	UBERON_0000945	stomach
RES00002845	Esophagus - Muscularis, F, 40-49	50	tissues	Esophagus	Muscularis	F	40-49	UBERON_0004648	esophagus muscularis mucosa
RES00002846	Vagina, F, 40-49	42	tissues	Vagina		F	40-49	UBERON_0000996	vagina
RES00002847	Esophagus - Gastroesophageal Junction, F, 40-49	33	tissues	Esophagus	Gastroesophageal Junction	F	40-49	UBERON_0004550	gastroesophageal sphincter
RES00002848	Ovary, F, 40-49	44	tissues	Ovary		F	40-49	UBERON_0000992	ovary
RES00002849	Adipose - Visceral (Omentum), F, 40-49	41	tissues	Adipose	Visceral (Omentum)	F	40-49	UBERON_0010414	omental fat pad
RES00002850	Colon - Sigmoid, F, 40-49	26	tissues	Colon	Sigmoid	F	40-49	UBERON_0001159	sigmoid colon
RES00002851	Small Intestine - Terminal Ileum, F, 40-49	15	tissues	Small Intestine	Terminal Ileum	F	40-49	UBERON_0001211	Peyer's patch
RES00002852	Adrenal Gland, F, 40-49	22	tissues	Adrenal Gland		F	40-49	UBERON_0002369	adrenal gland
RES00002853	Brain - Frontal Cortex (BA9), M, 30-39	7	tissues	Brain	Frontal Cortex (BA9)	M	30-39	UBERON_0009834	dorsolateral prefrontal cortex
RES00002854	Brain - Cerebellar Hemisphere, M, 30-39	4	tissues	Brain	Cerebellar Hemisphere	M	30-39	UBERON_0002037	cerebellum
RES00002855	Brain - Hypothalamus, M, 30-39	3	tissues	Brain	Hypothalamus	M	30-39	UBERON_0001898	hypothalamus
RES00002856	Brain - Spinal cord (cervical c-1), M, 30-39	1	tissues	Brain	Spinal cord (cervical c-1)	M	30-39	UBERON_0006469	C1 segment of cervical spinal cord
RES00002857	Artery - Coronary, M, 30-39	8	tissues	Artery	Coronary	M	30-39	UBERON_0001621	coronary artery
RES00002858	Brain - Cerebellum, M, 30-39	8	tissues	Brain	Cerebellum	M	30-39	UBERON_0002037	cerebellum
RES00002859	Brain - Cortex, M, 30-39	8	tissues	Brain	Cortex	M	30-39	UBERON_0001870	frontal cortex
RES00002860	Pituitary, M, 30-39	6	tissues	Pituitary		M	30-39	UBERON_0000007	pituitary gland
RES00002861	Brain - Hippocampus, F, 50-59	21	tissues	Brain	Hippocampus	F	50-59	UBERON_0001954	Ammon's horn
RES00002862	Brain - Anterior cingulate cortex (BA24), F, 50-59	14	tissues	Brain	Anterior cingulate cortex (BA24)	F	50-59	UBERON_0009835	anterior cingulate cortex
RES00002863	Brain - Amygdala, F, 50-59	13	tissues	Brain	Amygdala	F	50-59	UBERON_0001876	amygdala
RES00002864	Brain - Spinal cord (cervical c-1), F, 50-59	18	tissues	Brain	Spinal cord (cervical c-1)	F	50-59	UBERON_0006469	C1 segment of cervical spinal cord
RES00002865	Heart - Atrial Appendage, F, 50-59	51	tissues	Heart	Atrial Appendage	F	50-59	UBERON_0006631	right atrium auricular region
RES00002866	Liver, F, 50-59	24	tissues	Liver		F	50-59	UBERON_0001114	right lobe of liver
RES00002867	Nerve - Tibial, F, 50-59	71	tissues	Nerve	Tibial	F	50-59	UBERON_0001323	tibial nerve
RES00002868	Brain - Cerebellum, F, 50-59	22	tissues	Brain	Cerebellum	F	50-59	UBERON_0002037	cerebellum
RES00002869	Brain - Frontal Cortex (BA9), M, 20-29	8	tissues	Brain	Frontal Cortex (BA9)	M	20-29	UBERON_0009834	dorsolateral prefrontal cortex
RES00002870	Brain - Cerebellar Hemisphere, M, 20-29	7	tissues	Brain	Cerebellar Hemisphere	M	20-29	UBERON_0002037	cerebellum
RES00002871	Brain - Spinal cord (cervical c-1), M, 20-29	4	tissues	Brain	Spinal cord (cervical c-1)	M	20-29	UBERON_0006469	C1 segment of cervical spinal cord
RES00002872	Brain - Cerebellum, M, 20-29	6	tissues	Brain	Cerebellum	M	20-29	UBERON_0002037	cerebellum
RES00002873	Brain - Cortex, M, 20-29	5	tissues	Brain	Cortex	M	20-29	UBERON_0001870	frontal cortex
RES00002874	Pituitary, M, 20-29	5	tissues	Pituitary		M	20-29	UBERON_0000007	pituitary gland
RES00002875	Adipose - Visceral (Omentum), M, 40-49	49	tissues	Adipose	Visceral (Omentum)	M	40-49	UBERON_0010414	omental fat pad
RES00002876	Brain - Frontal Cortex (BA9), F, 50-59	36	tissues	Brain	Frontal Cortex (BA9)	F	50-59	UBERON_0009834	dorsolateral prefrontal cortex
RES00002877	Brain - Substantia nigra, F, 50-59	13	tissues	Brain	Substantia nigra	F	50-59	UBERON_0002038	substantia nigra
RES00002878	Brain - Caudate (basal ganglia), F, 50-59	19	tissues	Brain	Caudate (basal ganglia)	F	50-59	UBERON_0001873	caudate nucleus
RES00002879	Brain - Nucleus accumbens (basal ganglia), F, 50-59	21	tissues	Brain	Nucleus accumbens (basal ganglia)	F	50-59	UBERON_0001882	nucleus accumbens
RES00002880	Skin - Not Sun Exposed (Suprapubic), F, 50-59	59	tissues	Skin	Not Sun Exposed (Suprapubic)	F	50-59	UBERON_0036149	suprapubic skin
RES00002881	Brain - Cortex, F, 50-59	27	tissues	Brain	Cortex	F	50-59	UBERON_0001870	frontal cortex
RES00002882	Brain - Hippocampus, M, 20-29	5	tissues	Brain	Hippocampus	M	20-29	UBERON_0001954	Ammon's horn
RES00002883	Brain - Nucleus accumbens (basal ganglia), M, 20-29	7	tissues	Brain	Nucleus accumbens (basal ganglia)	M	20-29	UBERON_0001882	nucleus accumbens
RES00002884	Brain - Putamen (basal ganglia), M, 20-29	5	tissues	Brain	Putamen (basal ganglia)	M	20-29	UBERON_0001874	putamen
RES00002885	Whole Blood, M, 70-79	61	tissues	Whole Blood		M	70-79	UBERON_0013756	venous blood
RES00002886	Cells - Cultured fibroblasts, M, 70-79	7	primary cells	Cells	Cultured fibroblasts	M	70-79	EFO_0002009	fibroblast derived cell line
RES00002887	Brain - Frontal Cortex (BA9), M, 70-79	17	tissues	Brain	Frontal Cortex (BA9)	M	70-79	UBERON_0009834	dorsolateral prefrontal cortex
RES00002888	Brain - Cerebellar Hemisphere, M, 70-79	13	tissues	Brain	Cerebellar Hemisphere	M	70-79	UBERON_0002037	cerebellum
RES00002889	Brain - Hippocampus, M, 70-79	9	tissues	Brain	Hippocampus	M	70-79	UBERON_0001954	Ammon's horn
RES00002890	Brain - Substantia nigra, M, 70-79	4	tissues	Brain	Substantia nigra	M	70-79	UBERON_0002038	substantia nigra
RES00002891	Brain - Anterior cingulate cortex (BA24), M, 70-79	11	tissues	Brain	Anterior cingulate cortex (BA24)	M	70-79	UBERON_0009835	anterior cingulate cortex
RES00002892	Brain - Amygdala, M, 70-79	8	tissues	Brain	Amygdala	M	70-79	UBERON_0001876	amygdala
RES00002893	Brain - Caudate (basal ganglia), M, 70-79	12	tissues	Brain	Caudate (basal ganglia)	M	70-79	UBERON_0001873	caudate nucleus
RES00002894	Brain - Nucleus accumbens (basal ganglia), M, 70-79	12	tissues	Brain	Nucleus accumbens (basal ganglia)	M	70-79	UBERON_0001882	nucleus accumbens
RES00002895	Brain - Putamen (basal ganglia), M, 70-79	7	tissues	Brain	Putamen (basal ganglia)	M	70-79	UBERON_0001874	putamen
RES00002896	Nerve - Tibial, M, 70-79	17	tissues	Nerve	Tibial	M	70-79	UBERON_0001323	tibial nerve
RES00002897	Muscle - Skeletal, M, 70-79	24	tissues	Muscle	Skeletal	M	70-79	UBERON_0011907	gastrocnemius medialis
RES00002898	Adipose - Visceral (Omentum), M, 70-79	15	tissues	Adipose	Visceral (Omentum)	M	70-79	UBERON_0010414	omental fat pad
RES00002899	Skin - Not Sun Exposed (Suprapubic), M, 70-79	17	tissues	Skin	Not Sun Exposed (Suprapubic)	M	70-79	UBERON_0036149	suprapubic skin
RES00002900	Pituitary, M, 70-79	16	tissues	Pituitary		M	70-79	UBERON_0000007	pituitary gland
RES00002901	Brain - Cortex, M, 70-79	12	tissues	Brain	Cortex	M	70-79	UBERON_0001870	frontal cortex
RES00002902	Kidney - Cortex, F, 50-59	6	tissues	Kidney	Cortex	F	50-59	UBERON_0001225	cortex of kidney
RES00002903	Spleen, F, 50-59	28	tissues	Spleen		F	50-59	UBERON_0002106	spleen
RES00002904	Brain - Hippocampus, M, 50-59	50	tissues	Brain	Hippocampus	M	50-59	UBERON_0001954	Ammon's horn
RES00002905	Artery - Aorta, F, 40-49	28	tissues	Artery	Aorta	F	40-49	UBERON_0001496	ascending aorta
RES00002906	Heart - Left Ventricle, F, 40-49	36	tissues	Heart	Left Ventricle	F	40-49	UBERON_0006566	left ventricle myocardium
RES00002907	Artery - Coronary, F, 40-49	22	tissues	Artery	Coronary	F	40-49	UBERON_0001621	coronary artery
RES00002908	Uterus, F, 40-49	36	tissues	Uterus		F	40-49	UBERON_0000995	uterus
RES00002909	Cells - EBV-transformed lymphocytes, M, 50-59	41	primary cells	Cells	EBV-transformed lymphocytes	M	50-59	EFO_0000572	lymphoblast
RES00002910	Cells - EBV-transformed lymphocytes, M, 40-49	26	primary cells	Cells	EBV-transformed lymphocytes	M	40-49	EFO_0000572	lymphoblast
RES00002911	Spleen, M, 40-49	31	tissues	Spleen		M	40-49	UBERON_0002106	spleen
RES00002912	Artery - Aorta, M, 40-49	42	tissues	Artery	Aorta	M	40-49	UBERON_0001496	ascending aorta
RES00002913	Pancreas, M, 40-49	44	tissues	Pancreas		M	40-49	UBERON_0001150	body of pancreas
RES00002914	Adrenal Gland, M, 40-49	29	tissues	Adrenal Gland		M	40-49	UBERON_0002369	adrenal gland
RES00002915	Minor Salivary Gland, M, 40-49	21	tissues	Minor Salivary Gland		M	40-49	UBERON_0006330	anterior lingual gland
RES00002916	Esophagus - Mucosa, M, 40-49	68	tissues	Esophagus	Mucosa	M	40-49	UBERON_0006920	esophagus squamous epithelium
RES00002917	Brain - Frontal Cortex (BA9), F, 40-49	10	tissues	Brain	Frontal Cortex (BA9)	F	40-49	UBERON_0009834	dorsolateral prefrontal cortex
RES00002918	Brain - Cerebellar Hemisphere, F, 40-49	9	tissues	Brain	Cerebellar Hemisphere	F	40-49	UBERON_0002037	cerebellum
RES00002919	Brain - Nucleus accumbens (basal ganglia), F, 40-49	8	tissues	Brain	Nucleus accumbens (basal ganglia)	F	40-49	UBERON_0001882	nucleus accumbens
RES00002920	Brain - Putamen (basal ganglia), F, 40-49	6	tissues	Brain	Putamen (basal ganglia)	F	40-49	UBERON_0001874	putamen
RES00002921	Brain - Hypothalamus, F, 40-49	6	tissues	Brain	Hypothalamus	F	40-49	UBERON_0001898	hypothalamus
RES00002922	Brain - Cerebellum, F, 40-49	8	tissues	Brain	Cerebellum	F	40-49	UBERON_0002037	cerebellum
RES00002923	Brain - Cortex, F, 40-49	11	tissues	Brain	Cortex	F	40-49	UBERON_0001870	frontal cortex
RES00002924	Pituitary, F, 40-49	7	tissues	Pituitary		F	40-49	UBERON_0000007	pituitary gland
RES00002925	Brain - Cerebellar Hemisphere, F, 50-59	18	tissues	Brain	Cerebellar Hemisphere	F	50-59	UBERON_0002037	cerebellum
RES00002926	Brain - Putamen (basal ganglia), F, 50-59	17	tissues	Brain	Putamen (basal ganglia)	F	50-59	UBERON_0001874	putamen
RES00002927	Brain - Hypothalamus, F, 50-59	16	tissues	Brain	Hypothalamus	F	50-59	UBERON_0001898	hypothalamus
RES00002928	Stomach, M, 40-49	38	tissues	Stomach		M	40-49	UBERON_0000945	stomach
RES00002929	Colon - Sigmoid, M, 40-49	30	tissues	Colon	Sigmoid	M	40-49	UBERON_0001159	sigmoid colon
RES00002930	Cells - Cultured fibroblasts, F, 20-29	15	primary cells	Cells	Cultured fibroblasts	F	20-29	EFO_0002009	fibroblast derived cell line
RES00002931	Lung, F, 20-29	25	tissues	Lung		F	20-29	UBERON_0008952	upper lobe of left lung
RES00002932	Small Intestine - Terminal Ileum, F, 20-29	9	tissues	Small Intestine	Terminal Ileum	F	20-29	UBERON_0001211	Peyer's patch
RES00002933	Nerve - Tibial, F, 20-29	15	tissues	Nerve	Tibial	F	20-29	UBERON_0001323	tibial nerve
RES00002934	Pancreas, F, 30-39	5	tissues	Pancreas		F	30-39	UBERON_0001150	body of pancreas
RES00002935	Adrenal Gland, F, 30-39	5	tissues	Adrenal Gland		F	30-39	UBERON_0002369	adrenal gland
RES00002936	Kidney - Cortex, F, 30-39	2	tissues	Kidney	Cortex	F	30-39	UBERON_0001225	cortex of kidney
RES00002937	Artery - Coronary, F, 30-39	5	tissues	Artery	Coronary	F	30-39	UBERON_0001621	coronary artery
RES00002938	Heart - Left Ventricle, F, 30-39	15	tissues	Heart	Left Ventricle	F	30-39	UBERON_0006566	left ventricle myocardium
RES00002939	Stomach, F, 30-39	13	tissues	Stomach		F	30-39	UBERON_0000945	stomach
RES00002940	Small Intestine - Terminal Ileum, F, 30-39	9	tissues	Small Intestine	Terminal Ileum	F	30-39	UBERON_0001211	Peyer's patch
RES00002941	Artery - Coronary, M, 40-49	19	tissues	Artery	Coronary	M	40-49	UBERON_0001621	coronary artery
RES00002942	Liver, M, 40-49	28	tissues	Liver		M	40-49	UBERON_0001114	right lobe of liver
RES00002943	Small Intestine - Terminal Ileum, M, 40-49	23	tissues	Small Intestine	Terminal Ileum	M	40-49	UBERON_0001211	Peyer's patch
RES00002944	Pancreas, F, 20-29	13	tissues	Pancreas		F	20-29	UBERON_0001150	body of pancreas
RES00002945	Brain - Spinal cord (cervical c-1), F, 40-49	10	tissues	Brain	Spinal cord (cervical c-1)	F	40-49	UBERON_0006469	C1 segment of cervical spinal cord
RES00002946	Brain - Hypothalamus, M, 70-79	9	tissues	Brain	Hypothalamus	M	70-79	UBERON_0001898	hypothalamus
RES00002947	Skin - Sun Exposed (Lower leg), M, 70-79	20	tissues	Skin	Sun Exposed (Lower leg)	M	70-79	UBERON_0004264	lower leg skin
