FANTOM5_Sample_ID	Characteristics [description]	Sample types category	Experiments category	Chracteristics [Species]	Characteristics [Sex]	Characteristics [Age]	Unit[Age]	Characteristics [Developmental stage]	UBERON ID	UBERON label	CL ID	CL label	NCIT ID	NCIT label
10839-111E2	large cell lung carcinoma cell line:NCI-H460	cell lines	snapshot	Human (Homo sapiens)	male	NA	NA	NA	UBERON:0002048	lung	CL:0000082	epithelial cell of lung	NCIT:C4450	Large cell lung carcinoma
10840-111E3	plasma cell leukemia cell line:ARH-77	cell lines	snapshot	Human (Homo sapiens)	female	33	year	adult	UBERON:0000178	blood	CL:0000236	B cell	NA	NA
10841-111E4	small cell lung carcinoma cell line:DMS 144	cell lines	snapshot	Human (Homo sapiens)	male	68	year	adult	UBERON:0002048	lung	CL:0000082	epithelial cell of lung	NCIT:C4917	Small cell lung carcinoma
10842-111E5	small cell lung carcinoma cell line:NCI-H82	cell lines	snapshot	Human (Homo sapiens)	male	40	year	adult	UBERON:0002048	lung	CL:0000082	epithelial cell of lung	NCIT:C4917	Small cell lung carcinoma
10843-111E6	merkel cell carcinoma cell line:MKL-1	cell lines	snapshot	Human (Homo sapiens)	male	26	year	adult	UBERON:0002025	stratum basale of epidermis	CL:0000242	Merkel cell	NCIT:C9231	Merkel cell carcinoma
10844-111E7	merkel cell carcinoma cell line:MS-1	cell lines	snapshot	Human (Homo sapiens)	NA	NA	NA	NA	UBERON:0002025	stratum basale of epidermis	CL:0000242	Merkel cell	NCIT:C9231	Merkel cell carcinoma
10845-111E8	mesothelioma cell line:NCI-H28	cell lines	snapshot	Human (Homo sapiens)	male	48	year	adult	UBERON:0000977	pleura	CL:1000491	mesothelial cell of pleura	NCIT:C45663	Pleural sarcomatoid mesothelioma
10846-111E9	mesothelioma cell line:NCI-H226	cell lines	snapshot	Human (Homo sapiens)	male	NA	NA	NA	UBERON:0000977	pleura	CL:1000491	mesothelial cell of pleura	NCIT:C45662	Pleural epithelioid mesothelioma
10847-111F1	mesothelioma cell line:NCI-H2052	cell lines	snapshot	Human (Homo sapiens)	male	65	year	adult	UBERON:0000977	pleura	CL:1000491	mesothelial cell of pleura	NCIT:C45663	Pleural sarcomatoid mesothelioma
10848-111F2	mesothelioma cell line:NCI-H2452	cell lines	snapshot	Human (Homo sapiens)	male	NA	NA	NA	UBERON:0000977	pleura	CL:1000491	mesothelial cell of pleura	NCIT:C45665	Pleural biphasic mesothelioma
10849-111F3	mesothelioma cell line:Mero-14	cell lines	snapshot	Human (Homo sapiens)	male	60	year	adult	UBERON:0000977	pleura	CL:1000491	mesothelial cell of pleura	NCIT:C45662	Pleural epithelioid mesothelioma
10850-111F4	mesothelioma cell line:Mero-25	cell lines	snapshot	Human (Homo sapiens)	male	60	year	adult	UBERON:0000977	pleura	CL:1000491	mesothelial cell of pleura	NCIT:C45665	Pleural biphasic mesothelioma
10851-111F5	mesothelioma cell line:Mero-41	cell lines	snapshot	Human (Homo sapiens)	male	60	year	adult	UBERON:0000977	pleura	CL:1000491	mesothelial cell of pleura	NCIT:C45662	Pleural epithelioid mesothelioma
10852-111F6	mesothelioma cell line:Mero-48a	cell lines	snapshot	Human (Homo sapiens)	male	NA	NA	NA	UBERON:0000977	pleura	CL:1000491	mesothelial cell of pleura	NCIT:C45665	Pleural biphasic mesothelioma
10853-111F7	mesothelioma cell line:Mero-82	cell lines	snapshot	Human (Homo sapiens)	male	NA	NA	NA	UBERON:0000977	pleura	CL:1000491	mesothelial cell of pleura	NCIT:C45662	Pleural epithelioid mesothelioma
10854-111F8	mesothelioma cell line:Mero-83	cell lines	snapshot	Human (Homo sapiens)	male	NA	NA	NA	UBERON:0000977	pleura	CL:1000491	mesothelial cell of pleura	NCIT:C45665	Pleural biphasic mesothelioma
10855-111F9	mesothelioma cell line:Mero-84	cell lines	snapshot	Human (Homo sapiens)	male	NA	NA	NA	UBERON:0000977	pleura	CL:1000491	mesothelial cell of pleura	NCIT:C45665	Pleural biphasic mesothelioma
10856-111G1	mesothelioma cell line:Mero-95	cell lines	snapshot	Human (Homo sapiens)	male	NA	NA	NA	UBERON:0000977	pleura	CL:1000491	mesothelial cell of pleura	NCIT:C45662	Pleural epithelioid mesothelioma
10857-111G2	mesothelioma cell line:No36	cell lines	snapshot	Human (Homo sapiens)	male	NA	NA	NA	UBERON:0000977	pleura	CL:1000491	mesothelial cell of pleura	NCIT:C7376	Pleural malignant mesothelioma
10858-111G3	mesothelioma cell line:ONE58	cell lines	snapshot	Human (Homo sapiens)	male	NA	NA	NA	UBERON:0000977	pleura	CL:1000491	mesothelial cell of pleura	NCIT:C45662	Pleural epithelioid mesothelioma
11207-116A1	Endothelial Cells - Aortic, donor0	primary cells	snapshot	Human (Homo sapiens)	NA	NA	NA	NA	UBERON:0000947	aorta	CL:0002544	aortic endothelial cell	NA	NA
11210-116A4	Smooth Muscle Cells - Aortic, donor0	primary cells	snapshot	Human (Homo sapiens)	male	54	year	adult	UBERON:0004178	aorta smooth muscle tissue	CL:0002539	aortic smooth muscle cell	NA	NA
11212-116A6	Smooth Muscle Cells - Umbilical artery, donor0	primary cells	snapshot	Human (Homo sapiens)	NA	NA	NA	NA	UBERON:0001310	umbilical artery	CL:0002594	smooth muscle cell of the umbilical artery	NA	NA
11214-116A8	Mesenchymal stem cells - umbilical, donor0	primary cells	snapshot	Human (Homo sapiens)	NA	NA	NA	NA	UBERON:0003422	mesenchyme of umbilical cord	CL:0002569	mesenchymal stem cell of umbilical cord	NA	NA
11215-116A9	Retinal Pigment Epithelial Cells, donor0	primary cells	snapshot	Human (Homo sapiens)	NA	NA	NA	NA	UBERON:0001782	pigmented layer of retina	CL:0002586	retinal pigment epithelial cell	NA	NA
11216-116B1	Urothelial cells, donor0	primary cells	snapshot	Human (Homo sapiens)	NA	NA	NA	NA	UBERON:0000365	urothelium	CL:0000731	urothelial cell	NA	NA
11217-116B2	Mesenchymal stem cells - adipose, donor0	primary cells	snapshot	Human (Homo sapiens)	NA	NA	NA	NA	UBERON:0001013	adipose tissue	CL:0002570	mesenchymal stem cell of adipose	NA	NA
11218-116B3	Mesenchymal stem cells - hepatic, donor0	primary cells	snapshot	Human (Homo sapiens)	NA	NA	NA	NA	UBERON:0002107	liver	CL:0002571	hepatic mesenchymal stem cell	NA	NA
11219-116B4	Mesenchymal Stem Cells - Vertebral, donor1	primary cells	snapshot	Human (Homo sapiens)	NA	NA	NA	NA	UBERON:0002412	vertebra	CL:0002572	vertebral mesenchymal stem cell	NA	NA
11220-116B5	Sebocyte, donor1	primary cells	snapshot	Human (Homo sapiens)	male	29	year	adult	UBERON:0001821	sebaceous gland	CL:0000317	sebum secreting cell	NA	NA
11221-116B6	Gingival epithelial cells, donor1 (GEA11)	primary cells	snapshot	Human (Homo sapiens)	female	61	year	adult	UBERON:0001949	gingival epithelium	CL:0002621	gingival epithelial cell	NA	NA
11222-116B7	Fibroblast - Gingival, donor4 (GFH2)	primary cells	snapshot	Human (Homo sapiens)	male	22	year	adult	UBERON:0001828	gingiva	CL:0002552	fibroblast of gingiva	Orphanet:2026	Gingival fibromatosis-hypertrichosis syndrome
11223-116B8	Fibroblast - Periodontal Ligament, donor4 (PL29)	primary cells	snapshot	Human (Homo sapiens)	female	18	year	adult	UBERON:0008266	periodontal ligament	CL:0002556	fibroblast of periodontium	NA	NA
11224-116B9	CD14+ Monocytes, donor1	primary cells	snapshot	Human (Homo sapiens)	male	47	year	adult	UBERON:0000178	blood	CL:0001054	CD14-positive monocyte	NA	NA
11225-116C1	CD4+ T Cells, donor1	primary cells	snapshot	Human (Homo sapiens)	male	53	year	adult	UBERON:0000178	blood	CL:0000624	CD4-positive, alpha-beta T cell	NA	NA
11226-116C2	CD8+ T Cells, donor1	primary cells	snapshot	Human (Homo sapiens)	male	47	year	adult	UBERON:0000178	blood	CL:0000625	CD8-positive, alpha-beta T cell	NA	NA
11227-116C3	Dendritic Cells - monocyte immature derived, donor1	primary cells	snapshot	Human (Homo sapiens)	female	57	year	adult	UBERON:0000178	blood	CL:0000840	immature conventional dendritic cell	NA	NA
11228-116C4	Dendritic Cells - plasmacytoid, donor1	primary cells	snapshot	Human (Homo sapiens)	female	22	year	adult	UBERON:0000178	blood	CL:0000784	plasmacytoid dendritic cell	NA	NA
11229-116C5	CD14+ monocyte derived endothelial progenitor cells, donor1	primary cells	snapshot	Human (Homo sapiens)	male	65	year	adult	UBERON:0000178	blood	CL:0002619	adult endothelial progenitor cell	NA	NA
11230-116C6	Natural Killer Cells, donor1	primary cells	snapshot	Human (Homo sapiens)	male	47	year	adult	UBERON:0000178	blood	CL:0000623	natural killer cell	NA	NA
11231-116C7	Peripheral Blood Mononuclear Cells, donor1	primary cells	snapshot	Human (Homo sapiens)	male	47	year	adult	UBERON:0000178	blood	CL:2000001	peripheral blood mononuclear cell	NA	NA
11232-116C8	Macrophage - monocyte derived, donor1	primary cells	snapshot	Human (Homo sapiens)	male	65	year	adult	UBERON:0000178	blood	CL:0000235	macrophage	NA	NA
11233-116C9	Neutrophils, donor1	primary cells	snapshot	Human (Homo sapiens)	male	66	year	adult	UBERON:0000178	blood	CL:0000775	neutrophil	NA	NA
11234-116D1	Smooth Muscle Cells - Brain Vascular, donor1	primary cells	snapshot	Human (Homo sapiens)	NA	NA	NA	fetus	UBERON:0000955	brain	CL:0002590	smooth muscle cell of the brain vasculature	NA	NA
11235-116D2	Astrocyte - cerebral cortex, donor1	primary cells	snapshot	Human (Homo sapiens)	NA	NA	NA	fetus	UBERON:0000956	cerebral cortex	CL:0002605	astrocyte of the cerebral cortex	NA	NA
11236-116D3	Endothelial Cells - Lymphatic, donor1	primary cells	snapshot	Human (Homo sapiens)	NA	NA	NA	fetus	UBERON:0001473	lymphatic vessel	CL:0002138	endothelial cell of lymphatic vessel	NA	NA
11237-116D4	Fibroblast - Gingival, donor1	primary cells	snapshot	Human (Homo sapiens)	NA	NA	NA	fetus	UBERON:0001828	gingiva	CL:0002552	fibroblast of gingiva	NA	NA
11238-116D5	Fibroblast - Periodontal Ligament, donor1	primary cells	snapshot	Human (Homo sapiens)	NA	NA	NA	fetus	UBERON:0008266	periodontal ligament	CL:0002556	fibroblast of periodontium	NA	NA
11239-116D6	Smooth Muscle Cells - Colonic, donor1	primary cells	snapshot	Human (Homo sapiens)	NA	NA	NA	fetus	UBERON:0001155	colon	CL:1000280	smooth muscle cell of colon	NA	NA
11240-116D7	Skeletal Muscle Satellite Cells, donor1	primary cells	snapshot	Human (Homo sapiens)	NA	NA	NA	fetus	UBERON:0001134	skeletal muscle tissue	CL:0000594	skeletal muscle satellite cell	NA	NA
11241-116D8	Myoblast, donor1	primary cells	snapshot	Human (Homo sapiens)	female	58	year	adult	UBERON:0001134	skeletal muscle tissue	CL:0000515	skeletal muscle myoblast	NA	NA
11242-116D9	Ciliary Epithelial Cells, donor1	primary cells	snapshot	Human (Homo sapiens)	NA	NA	NA	fetus	UBERON:0000970	eye	CL:0000067	ciliated epithelial cell	NA	NA
11243-116E1	Endothelial Cells - Umbilical vein, donor1	primary cells	snapshot	Human (Homo sapiens)	NA	NA	NA	fetus	UBERON:0002066	umbilical vein	CL:0002618	endothelial cell of umbilical vein	NA	NA
11245-116E3	Fibroblast - Aortic Adventitial, donor1	primary cells	snapshot	Human (Homo sapiens)	female	68	year	adult	UBERON:0004664	aorta tunica adventitia	CL:0002547	fibroblast of the aortic adventitia	NA	NA
11246-116E4	Intestinal epithelial cells (polarized), donor1	primary cells	snapshot	Human (Homo sapiens)	NA	19	year	adult	UBERON:0000160	intestine	CL:0002563	intestinal epithelial cell	NA	NA
11247-116E5	Mesothelial Cells, donor1	primary cells	snapshot	Human (Homo sapiens)	female	45	year	adult	UBERON:0001136	mesothelium	CL:0000077	mesothelial cell	NA	NA
11248-116E6	Anulus Pulposus Cell, donor1	primary cells	snapshot	Human (Homo sapiens)	NA	NA	NA	NA	UBERON:0004715	annulus fibrosus disci intervertebralis	CL:0002602	annulus pulposus cell	NA	NA
11249-116E7	Pancreatic stromal cells, donor1	primary cells	snapshot	Human (Homo sapiens)	male	39	year	adult	UBERON:0001264	pancreas	CL:0002574	stromal cell of pancreas	NA	NA
11250-116E8	Fibroblast - Pulmonary Artery, donor1	primary cells	snapshot	Human (Homo sapiens)	NA	NA	NA	NA	UBERON:0002012	pulmonary artery	CL:0002557	fibroblast of pulmonary artery	NA	NA
11251-116E9	Keratinocyte - oral, donor1	primary cells	snapshot	Human (Homo sapiens)	NA	NA	NA	NA	UBERON:0003729	mouth mucosa	CL:0002170	keratinized cell of the oral mucosa	NA	NA
11252-116F1	Nucleus Pulposus Cell, donor1	primary cells	snapshot	Human (Homo sapiens)	NA	NA	NA	NA	UBERON:0002242	nucleus pulposus	CL:0002564	nucleus pulposus cell of intervertebral disc	NA	NA
11253-116F2	Prostate Epithelial Cells (polarized), donor1	primary cells	snapshot	Human (Homo sapiens)	male	56	year	adult	UBERON:0002367	prostate gland	CL:0002231	epithelial cell of prostate	NA	NA
11254-116F3	Prostate Stromal Cells, donor1	primary cells	snapshot	Human (Homo sapiens)	male	55	year	adult	UBERON:0002367	prostate gland	CL:0002622	prostate stromal cell	NA	NA
11255-116F4	Sertoli Cells, donor1	primary cells	snapshot	Human (Homo sapiens)	male	23	year	adult	UBERON:0001343	seminiferous tubule of testis	CL:0000216	Sertoli cell	NA	NA
11256-116F5	Small Airway Epithelial Cells, donor1	primary cells	snapshot	Human (Homo sapiens)	female	19	year	adult	UBERON:0000065	respiratory tract	CL:0002368	respiratory epithelial cell	NA	NA
11257-116F6	Smooth Muscle Cells - Prostate, donor1	primary cells	snapshot	Human (Homo sapiens)	male	40	year	adult	UBERON:0002367	prostate gland	CL:1000487	smooth muscle cell of prostate	NA	NA
11258-116F7	Smooth Muscle Cells - Uterine, donor1	primary cells	snapshot	Human (Homo sapiens)	female	56	year	adult	UBERON:0000995	uterus	CL:0002601	uterine smooth muscle cell	NA	NA
11259-116F8	Adipocyte - subcutaneous, donor1	primary cells	snapshot	Human (Homo sapiens)	female	53	year	adult	UBERON:0002190	subcutaneous adipose tissue	CL:0002521	subcutaneous fat cell	NA	NA
11261-116G1	Chondrocyte - de diff, donor1	primary cells	snapshot	Human (Homo sapiens)	male	57	year	adult	UBERON:0002418	cartilage tissue	CL:0000138	chondrocyte	NA	NA
11263-116G3	Endothelial Cells - Aortic, donor1	primary cells	snapshot	Human (Homo sapiens)	female	28	year	adult	UBERON:0000947	aorta	CL:0002544	aortic endothelial cell	NA	NA
11264-116G4	Endothelial Cells - Artery, donor1	primary cells	snapshot	Human (Homo sapiens)	female	51	year	adult	UBERON:0001637	artery	CL:1000413	endothelial cell of artery	NA	NA
11265-116G5	Endothelial Cells - Microvascular, donor1	primary cells	snapshot	Human (Homo sapiens)	female	53	year	adult	UBERON:0008339	microvascular endothelium	CL:2000008	microvascular endothelial cell	NA	NA
11266-116G6	Endothelial Cells - Thoracic, donor1	primary cells	snapshot	Human (Homo sapiens)	female	34	year	adult	UBERON:0001515	thoracic aorta	CL:0002545	thoracic aorta endothelial cell	NA	NA
11267-116G7	Endothelial Cells - Vein, donor1	primary cells	snapshot	Human (Homo sapiens)	male	NA	NA	infant	UBERON:0001638	vein	CL:0002543	vein endothelial cell	NA	NA
11268-116G8	Fibroblast - Cardiac, donor1	primary cells	snapshot	Human (Homo sapiens)	male	22	week	fetus	UBERON:0000948	heart	CL:0002548	fibroblast of cardiac tissue	NA	NA
11269-116G9	Fibroblast - Dermal, donor1	primary cells	snapshot	Human (Homo sapiens)	male	71	year	adult	UBERON:0002067	dermis	CL:0002551	fibroblast of dermis	NA	NA
11270-116H1	Fibroblast - Lung, donor1	primary cells	snapshot	Human (Homo sapiens)	female	20	week	fetus	UBERON:0002048	lung	CL:0002553	fibroblast of lung	NA	NA
11271-116H2	Hair Follicle Dermal Papilla Cells, donor1	primary cells	snapshot	Human (Homo sapiens)	male	28	year	adult	UBERON:0000412	dermal papilla	CL:0000346	hair follicle dermal papilla cell	NA	NA
11272-116H3	Keratinocyte - epidermal, donor1	primary cells	snapshot	Human (Homo sapiens)	male	54	year	adult	UBERON:0001003	skin epidermis	CL:0000312	keratinocyte	NA	NA
11273-116H4	Mammary Epithelial Cell, donor1	primary cells	snapshot	Human (Homo sapiens)	female	29	year	adult	UBERON:0001911	mammary gland	CL:0002327	mammary gland epithelial cell	NA	NA
11274-116H5	Melanocyte - light, donor1	primary cells	snapshot	Human (Homo sapiens)	male	NA	NA	infant	UBERON:0001003	skin epidermis	CL:0002567	light melanocyte	NA	NA
11275-116H6	Neural stem cells, donor1	primary cells	snapshot	Human (Homo sapiens)	NA	19	week	fetus	UBERON:0001017	central nervous system	CL:0000047	neuronal stem cell	NA	NA
11276-116H7	Osteoblast - differentiated, donor1	primary cells	snapshot	Human (Homo sapiens)	female	22	week	fetus	UBERON:0008883	osteoid	CL:0000062	osteoblast	NA	NA
11277-116H8	Osteoblast, donor1	primary cells	snapshot	Human (Homo sapiens)	male	18	week	fetus	UBERON:0008883	osteoid	CL:0000062	osteoblast	NA	NA
11278-116H9	Placental Epithelial Cells, donor1	primary cells	snapshot	Human (Homo sapiens)	NA	NA	NA	NA	UBERON:0001987	placenta	CL:0002577	placental epithelial cell	NA	NA
11279-116I1	Preadipocyte - subcutaneous, donor1	primary cells	snapshot	Human (Homo sapiens)	female	41	year	adult	UBERON:0002072	hypodermis	CL:0002583	subcutaneous preadipocyte	NA	NA
11280-116I2	Preadipocyte - visceral, donor1	primary cells	snapshot	Human (Homo sapiens)	female	56	year	adult	UBERON:0000948	heart	CL:0002582	visceral preadipocyte	NA	NA
11281-116I3	Skeletal Muscle Cells, donor1	primary cells	snapshot	Human (Homo sapiens)	NA	22	week	fetus	UBERON:0001134	skeletal muscle tissue	CL:0000188	cell of skeletal muscle	NA	NA
11282-116I4	Skeletal muscle cells differentiated into Myotubes - multinucleated, donor1	primary cells	snapshot	Human (Homo sapiens)	NA	22	week	fetus	UBERON:0001134	skeletal muscle tissue	CL:0002372	myotube	NA	NA
11283-116I5	Smooth Muscle Cells - Aortic, donor1	primary cells	snapshot	Human (Homo sapiens)	male	39	year	adult	UBERON:0004178	aorta smooth muscle tissue	CL:0002539	aortic smooth muscle cell	NA	NA
11284-116I6	Smooth Muscle Cells - Brachiocephalic, donor1	primary cells	snapshot	Human (Homo sapiens)	NA	NA	NA	NA	UBERON:0001529	brachiocephalic artery	CL:0002589	smooth muscle cell of the brachiocephalic vasculature	NA	NA
11285-116I7	Smooth Muscle Cells - Carotid, donor1	primary cells	snapshot	Human (Homo sapiens)	NA	NA	NA	NA	UBERON:0005396	carotid artery segment	CL:0002596	smooth muscle cell of the carotid artery	NA	NA
11286-116I8	Smooth Muscle Cells - Coronary Artery, donor1	primary cells	snapshot	Human (Homo sapiens)	female	41	year	adult	UBERON:0001621	coronary artery	CL:0002592	smooth muscle cell of the coronary artery	NA	NA
11287-116I9	Smooth Muscle Cells - Internal Thoracic Artery, donor1	primary cells	snapshot	Human (Homo sapiens)	female	34	year	adult	UBERON:0002456	internal thoracic artery	CL:0002593	internal thoracic artery	NA	NA
11288-117A1	Smooth Muscle Cells - Pulmonary Artery, donor1	primary cells	snapshot	Human (Homo sapiens)	male	45	year	adult	UBERON:0002012	pulmonary artery	CL:0002591	smooth muscle cell of the pulmonary artery	NA	NA
11289-117A2	Smooth Muscle Cells - Subclavian Artery, donor1	primary cells	snapshot	Human (Homo sapiens)	female	27	year	adult	UBERON:0001533	subclavian artery	CL:0002595	smooth muscle cell of the subclavian artery	NA	NA
11290-117A3	Smooth Muscle Cells - Umbilical Artery, donor1	primary cells	snapshot	Human (Homo sapiens)	female	NA	NA	infant	UBERON:0001310	umbilical artery	CL:0002594	smooth muscle cell of the umbilical artery	NA	NA
11291-117A4	Synoviocyte, donor1	primary cells	snapshot	Human (Homo sapiens)	female	57	year	adult	UBERON:0002018	synovial membrane of synovial joint	CL:0000214	synovial cell	NA	NA
11292-117A5	Tracheal Epithelial Cells, donor1	primary cells	snapshot	Human (Homo sapiens)	female	50	year	adult	UBERON:0003126	trachea	CL:0000307	tracheal epithelial cell	NA	NA
11301-117B5	Sebocyte, donor2	primary cells	snapshot	Human (Homo sapiens)	male	NA	NA	NA	UBERON:0001821	sebaceous gland	CL:0000317	sebum secreting cell	NA	NA
11302-117B6	Gingival epithelial cells, donor2 (GEA14)	primary cells	snapshot	Human (Homo sapiens)	female	38	year	adult	UBERON:0001949	gingival epithelium	CL:0002621	gingival epithelial cell	NA	NA
11303-117B7	Fibroblast - Gingival, donor5 (GFH3)	primary cells	snapshot	Human (Homo sapiens)	male	22	year	adult	UBERON:0001828	gingiva	CL:0002552	fibroblast of gingiva	Orphanet:2026	Gingival fibromatosis-hypertrichosis syndrome
11304-117B8	Fibroblast - Periodontal Ligament, donor5 (PL30)	primary cells	snapshot	Human (Homo sapiens)	male	40	year	adult	UBERON:0008266	periodontal ligament	CL:0002556	fibroblast of periodontium	NA	NA
11305-117B9	CD14+ Monocytes, donor2	primary cells	snapshot	Human (Homo sapiens)	male	57	year	adult	UBERON:0000178	blood	CL:0001054	CD14-positive monocyte	NA	NA
11306-117C1	CD4+ T Cells, donor2	primary cells	snapshot	Human (Homo sapiens)	male	57	year	adult	UBERON:0000178	blood	CL:0000624	CD4-positive, alpha-beta T cell	NA	NA
11307-117C2	CD8+ T Cells, donor2	primary cells	snapshot	Human (Homo sapiens)	male	57	year	adult	UBERON:0000178	blood	CL:0000625	CD8-positive, alpha-beta T cell	NA	NA
11308-117C3	Dendritic Cells - monocyte immature derived, donor2	primary cells	snapshot	Human (Homo sapiens)	male	46	year	adult	UBERON:0000178	blood	CL:0000840	immature conventional dendritic cell	NA	NA
11309-117C4	Dendritic Cells - plasmacytoid, donor2	primary cells	snapshot	Human (Homo sapiens)	male	25	year	adult	UBERON:0000178	blood	CL:0000784	plasmacytoid dendritic cell	NA	NA
11310-117C5	CD14+ monocyte derived endothelial progenitor cells, donor2	primary cells	snapshot	Human (Homo sapiens)	female	57	year	adult	UBERON:0000178	blood	CL:0002619	adult endothelial progenitor cell	NA	NA
11311-117C6	Natural Killer Cells, donor2	primary cells	snapshot	Human (Homo sapiens)	male	57	year	adult	UBERON:0000178	blood	CL:0000623	natural killer cell	NA	NA
11312-117C7	Peripheral Blood Mononuclear Cells, donor2	primary cells	snapshot	Human (Homo sapiens)	male	65	year	adult	UBERON:0000178	blood	CL:2000001	peripheral blood mononuclear cell	NA	NA
11313-117C8	Macrophage - monocyte derived, donor2	primary cells	snapshot	Human (Homo sapiens)	male	46	year	adult	UBERON:0000178	blood	CL:0000235	macrophage	NA	NA
11314-117C9	Neutrophils, donor2	primary cells	snapshot	Human (Homo sapiens)	male	38	year	adult	UBERON:0000178	blood	CL:0000775	neutrophil	NA	NA
11315-117D1	Smooth Muscle Cells - Brain Vascular, donor2	primary cells	snapshot	Human (Homo sapiens)	NA	NA	NA	fetus	UBERON:0000955	brain	CL:0002590	smooth muscle cell of the brain vasculature	NA	NA
11316-117D2	Astrocyte - cerebral cortex, donor2	primary cells	snapshot	Human (Homo sapiens)	NA	NA	NA	fetus	UBERON:0000956	cerebral cortex	CL:0002605	astrocyte of the cerebral cortex	NA	NA
11317-117D3	Endothelial Cells - Lymphatic, donor2	primary cells	snapshot	Human (Homo sapiens)	NA	NA	NA	fetus	UBERON:0001473	lymphatic vessel	CL:0002138	endothelial cell of lymphatic vessel	NA	NA
11318-117D4	Fibroblast - Gingival, donor2	primary cells	snapshot	Human (Homo sapiens)	NA	NA	NA	fetus	UBERON:0001828	gingiva	CL:0002552	fibroblast of gingiva	NA	NA
11319-117D5	Fibroblast - Periodontal Ligament, donor2	primary cells	snapshot	Human (Homo sapiens)	NA	NA	NA	fetus	UBERON:0008266	periodontal ligament	CL:0002556	fibroblast of periodontium	NA	NA
11320-117D6	Smooth Muscle Cells - Colonic, donor2	primary cells	snapshot	Human (Homo sapiens)	NA	NA	NA	fetus	UBERON:0001155	colon	CL:1000280	smooth muscle cell of colon	NA	NA
11321-117D7	Skeletal Muscle Satellite Cells, donor2	primary cells	snapshot	Human (Homo sapiens)	NA	NA	NA	fetus	UBERON:0001134	skeletal muscle tissue	CL:0000594	skeletal muscle satellite cell	NA	NA
11322-117D8	Myoblast, donor2	primary cells	snapshot	Human (Homo sapiens)	male	21	year	adult	UBERON:0001134	skeletal muscle tissue	CL:0000515	skeletal muscle myoblast	NA	NA
11323-117D9	Ciliary Epithelial Cells, donor2	primary cells	snapshot	Human (Homo sapiens)	NA	NA	NA	fetus	UBERON:0000970	eye	CL:0000067	ciliated epithelial cell	NA	NA
11324-117E1	Endothelial Cells - Umbilical vein, donor2	primary cells	snapshot	Human (Homo sapiens)	NA	NA	NA	fetus	UBERON:0002066	umbilical vein	CL:0002618	endothelial cell of umbilical vein	NA	NA
11326-117E3	Fibroblast - Aortic Adventitial, donor2	primary cells	snapshot	Human (Homo sapiens)	male	65	year	adult	UBERON:0004664	aorta tunica adventitia	CL:0002547	fibroblast of the aortic adventitia	NA	NA
11327-117E4	Adipocyte - breast, donor2	primary cells	snapshot	Human (Homo sapiens)	female	40	year	adult	UBERON:0000310	breast	CL:0002617	adipocyte of breast	NA	NA
11328-117E5	Preadipocyte - breast, donor2	primary cells	snapshot	Human (Homo sapiens)	female	40	year	adult	UBERON:0000310	breast	CL:0002580	preadipocyte of the breast	NA	NA
11329-117E6	Preadipocyte - omental, donor2	primary cells	snapshot	Human (Homo sapiens)	female	24	year	adult	UBERON:0003688	omentum	CL:0002579	omentum preadipocyte	NA	NA
11331-117E8	Prostate Epithelial Cells, donor2	primary cells	snapshot	Human (Homo sapiens)	male	NA	NA	NA	UBERON:0002367	prostate gland	CL:0002231	epithelial cell of prostate	NA	NA
11332-117E9	Prostate Stromal Cells, donor2	primary cells	snapshot	Human (Homo sapiens)	male	24	year	adult	UBERON:0002367	prostate gland	CL:0002622	prostate stromal cell	NA	NA
11333-117F1	Sertoli Cells, donor2	primary cells	snapshot	Human (Homo sapiens)	male	36	year	adult	UBERON:0001343	seminiferous tubule of testis	CL:0000216	Sertoli cell	NA	NA
11334-117F2	Small Airway Epithelial Cells, donor2	primary cells	snapshot	Human (Homo sapiens)	male	58	year	adult	UBERON:0000065	respiratory tract	CL:0002368	respiratory epithelial cell	NA	NA
11335-117F3	Smooth Muscle Cells - Prostate, donor2	primary cells	snapshot	Human (Homo sapiens)	male	34	year	adult	UBERON:0002367	prostate gland	CL:1000487	smooth muscle cell of prostate	NA	NA
11336-117F4	Adipocyte - subcutaneous, donor2	primary cells	snapshot	Human (Homo sapiens)	female	41	year	adult	UBERON:0002190	subcutaneous adipose tissue	CL:0002521	subcutaneous fat cell	NA	NA
11338-117F6	Chondrocyte - de diff, donor2	primary cells	snapshot	Human (Homo sapiens)	male	60	year	adult	UBERON:0002418	cartilage tissue	CL:0000138	chondrocyte	NA	NA
11339-117F7	Chondrocyte - re diff, donor2	primary cells	snapshot	Human (Homo sapiens)	male	60	year	adult	UBERON:0002418	cartilage tissue	CL:0000138	chondrocyte	NA	NA
11340-117F8	Endothelial Cells - Aortic, donor2	primary cells	snapshot	Human (Homo sapiens)	female	56	year	adult	UBERON:0000947	aorta	CL:0002544	aortic endothelial cell	NA	NA
11341-117F9	Endothelial Cells - Artery, donor2	primary cells	snapshot	Human (Homo sapiens)	male	26	year	adult	UBERON:0001637	artery	CL:1000413	endothelial cell of artery	NA	NA
11342-117G1	Endothelial Cells - Microvascular, donor2	primary cells	snapshot	Human (Homo sapiens)	female	47	year	adult	UBERON:0008339	microvascular endothelium	CL:2000008	microvascular endothelial cell	NA	NA
