RefEx Sample ID	Description	Number of samples	Sample type category	Experiment category	UBERON ID	UBERON label	CL ID	CL label	NCIT ID	NCIT label
RES00001823	HES3-GFP Embryonic Stem cells, cardiomyocytic induction, day07	3	stem cells	time courses	UBERON:0007100	primary circulatory organ	CL:0000746	cardiac muscle myoblast	NA	NA
RES00001824	HES3-GFP Embryonic Stem cells, cardiomyocytic induction, day08	3	stem cells	time courses	UBERON:0007100	primary circulatory organ	CL:0000746	cardiac muscle myoblast	NA	NA
RES00001825	HES3-GFP Embryonic Stem cells, cardiomyocytic induction, day09	3	stem cells	time courses	UBERON:0007100	primary circulatory organ	CL:0000746	cardiac muscle myoblast	NA	NA
RES00001826	HES3-GFP Embryonic Stem cells, cardiomyocytic induction, day10	3	stem cells	time courses	UBERON:0007100	primary circulatory organ	CL:0000746	cardiac muscle myoblast	NA	NA
RES00001827	HES3-GFP Embryonic Stem cells, cardiomyocytic induction, day11	3	stem cells	time courses	UBERON:0007100	primary circulatory organ	CL:0000746	cardiac muscle myoblast	NA	NA
RES00001828	HES3-GFP Embryonic Stem cells, cardiomyocytic induction, day12	3	stem cells	time courses	UBERON:0007100	primary circulatory organ	CL:0000746	cardiac muscle myoblast	NA	NA
RES00001829	Hair Follicle Dermal Papilla Cells	3	primary cells	snapshot	UBERON:0000412	dermal papilla	CL:0000346	hair follicle dermal papilla cell	NA	NA
RES00001830	Hair Follicle Outer Root Sheath Cells	2	primary cells	snapshot	UBERON:0002073	hair follicle	CL:0002561	outer root sheath cell	NA	NA
RES00001831	Hep-2 cells mock treated	3	cell lines	snapshot	UBERON:0000002	uterine cervix	CL:0002535	epithelial cell of cervix	NCIT:C27677	Human papillomavirus-related endocervical adenocarcinoma
RES00001832	Hep-2 cells treated with Streptococci strain 5448	3	cell lines	snapshot	UBERON:0000002	uterine cervix	CL:0002535	epithelial cell of cervix	NCIT:C27677	Human papillomavirus-related endocervical adenocarcinoma
RES00001833	Hep-2 cells treated with Streptococci strain JRS4	3	cell lines	snapshot	UBERON:0000002	uterine cervix	CL:0002535	epithelial cell of cervix	NCIT:C27677	Human papillomavirus-related endocervical adenocarcinoma
RES00001834	Hepatic Sinusoidal Endothelial Cells	3	primary cells	snapshot	UBERON:0001281	hepatic sinusoid	CL:1000398	endothelial cell of hepatic sinusoid	NA	NA
RES00001835	Hepatic Stellate Cells (lipocyte)	3	primary cells	snapshot	UBERON:0002107	liver	CL:0000632	hepatic stellate cell	NA	NA
RES00001836	Hepatocyte	3	primary cells	snapshot	UBERON:0002107	liver	CL:0000182	hepatocyte	NA	NA
RES00001837	Hodgkin's lymphoma cell line:HD-Mar2	1	cell lines	snapshot	UBERON:0000178	blood	CL:0000542	lymphocyte	NCIT:C9357	Hodgkin lymphoma
RES00001838	Intestinal epithelial cells (polarized)	1	primary cells	snapshot	UBERON:0000160	intestine	CL:0002563	intestinal epithelial cell	NA	NA
RES00001839	Iris Pigment Epithelial Cells	1	primary cells	snapshot	UBERON:0002506	iris epithelium	CL:0002565	iris pigment epithelial cell	NA	NA
RES00001840	K562 erythroblastic leukemia response to hemin, 00hr00min	3	cell lines	time courses	UBERON:0000178	blood	CL:0000766	myeloid leukocyte	NCIT:C3174	Chronic myelogenous leukemia, BCR-ABL1 positive
RES00001841	K562 erythroblastic leukemia response to hemin, 00hr15min	3	cell lines	time courses	UBERON:0000178	blood	CL:0000766	myeloid leukocyte	NCIT:C3174	Chronic myelogenous leukemia, BCR-ABL1 positive
RES00001842	K562 erythroblastic leukemia response to hemin, 00hr30min	3	cell lines	time courses	UBERON:0000178	blood	CL:0000766	myeloid leukocyte	NCIT:C3174	Chronic myelogenous leukemia, BCR-ABL1 positive
RES00001843	K562 erythroblastic leukemia response to hemin, 00hr45min	3	cell lines	time courses	UBERON:0000178	blood	CL:0000766	myeloid leukocyte	NCIT:C3174	Chronic myelogenous leukemia, BCR-ABL1 positive
RES00001844	K562 erythroblastic leukemia response to hemin, 01hr00min	3	cell lines	time courses	UBERON:0000178	blood	CL:0000766	myeloid leukocyte	NCIT:C3174	Chronic myelogenous leukemia, BCR-ABL1 positive
RES00001845	K562 erythroblastic leukemia response to hemin, 01hr20min	3	cell lines	time courses	UBERON:0000178	blood	CL:0000766	myeloid leukocyte	NCIT:C3174	Chronic myelogenous leukemia, BCR-ABL1 positive
RES00001846	K562 erythroblastic leukemia response to hemin, 01hr40min	3	cell lines	time courses	UBERON:0000178	blood	CL:0000766	myeloid leukocyte	NCIT:C3174	Chronic myelogenous leukemia, BCR-ABL1 positive
RES00001847	K562 erythroblastic leukemia response to hemin, 02hr00min	3	cell lines	time courses	UBERON:0000178	blood	CL:0000766	myeloid leukocyte	NCIT:C3174	Chronic myelogenous leukemia, BCR-ABL1 positive
RES00001848	K562 erythroblastic leukemia response to hemin, 02hr30min	3	cell lines	time courses	UBERON:0000178	blood	CL:0000766	myeloid leukocyte	NCIT:C3174	Chronic myelogenous leukemia, BCR-ABL1 positive
RES00001849	K562 erythroblastic leukemia response to hemin, 03hr00min	3	cell lines	time courses	UBERON:0000178	blood	CL:0000766	myeloid leukocyte	NCIT:C3174	Chronic myelogenous leukemia, BCR-ABL1 positive
RES00001850	K562 erythroblastic leukemia response to hemin, 03hr30min	3	cell lines	time courses	UBERON:0000178	blood	CL:0000766	myeloid leukocyte	NCIT:C3174	Chronic myelogenous leukemia, BCR-ABL1 positive
RES00001851	K562 erythroblastic leukemia response to hemin, 04hr	3	cell lines	time courses	UBERON:0000178	blood	CL:0000766	myeloid leukocyte	NCIT:C3174	Chronic myelogenous leukemia, BCR-ABL1 positive
RES00001852	K562 erythroblastic leukemia response to hemin, 06hr	3	cell lines	time courses	UBERON:0000178	blood	CL:0000766	myeloid leukocyte	NCIT:C3174	Chronic myelogenous leukemia, BCR-ABL1 positive
RES00001853	K562 erythroblastic leukemia response to hemin, 12hr	3	cell lines	time courses	UBERON:0000178	blood	CL:0000766	myeloid leukocyte	NCIT:C3174	Chronic myelogenous leukemia, BCR-ABL1 positive
RES00001854	K562 erythroblastic leukemia response to hemin, 24hr	3	cell lines	time courses	UBERON:0000178	blood	CL:0000766	myeloid leukocyte	NCIT:C3174	Chronic myelogenous leukemia, BCR-ABL1 positive
RES00001855	K562 erythroblastic leukemia response to hemin, day02	3	cell lines	time courses	UBERON:0000178	blood	CL:0000766	myeloid leukocyte	NCIT:C3174	Chronic myelogenous leukemia, BCR-ABL1 positive
RES00001856	K562 erythroblastic leukemia response to hemin, day03	3	cell lines	time courses	UBERON:0000178	blood	CL:0000766	myeloid leukocyte	NCIT:C3174	Chronic myelogenous leukemia, BCR-ABL1 positive
RES00001857	K562 erythroblastic leukemia response to hemin, day04	3	cell lines	time courses	UBERON:0000178	blood	CL:0000766	myeloid leukocyte	NCIT:C3174	Chronic myelogenous leukemia, BCR-ABL1 positive
RES00001858	Keratinocyte - epidermal	3	primary cells	snapshot	UBERON:0001003	skin epidermis	CL:0000312	keratinocyte	NA	NA
RES00001859	Keratinocyte - oral	1	primary cells	snapshot	UBERON:0003729	mouth mucosa	CL:0002170	keratinized cell of the oral mucosa	NA	NA
RES00001860	Keratocytes	3	primary cells	snapshot	UBERON:0001777	substantia propria of cornea	CL:0002363	keratocyte	NA	NA
RES00001861	Krukenberg tumor cell line:HSKTC	1	cell lines	snapshot	NA	NA	CL:0000066	epithelial cell	NCIT:C3153	Krukenberg tumor
RES00001862	Lens Epithelial Cells	3	primary cells	snapshot	UBERON:0001803	epithelium of lens	CL:0002224	lens epithelial cell	NA	NA
RES00001863	Lymphatic Endothelial cells response to VEGFC, 00hr00min	3	primary cells	time courses	UBERON:0001473	lymphatic vessel	CL:0002138	endothelial cell of lymphatic vessel	NA	NA
RES00001864	Lymphatic Endothelial cells response to VEGFC, 00hr15min	3	primary cells	time courses	UBERON:0001473	lymphatic vessel	CL:0002138	endothelial cell of lymphatic vessel	NA	NA
RES00001865	Lymphatic Endothelial cells response to VEGFC, 00hr30min	3	primary cells	time courses	UBERON:0001473	lymphatic vessel	CL:0002138	endothelial cell of lymphatic vessel	NA	NA
RES00001866	Lymphatic Endothelial cells response to VEGFC, 00hr45min	3	primary cells	time courses	UBERON:0001473	lymphatic vessel	CL:0002138	endothelial cell of lymphatic vessel	NA	NA
RES00001867	Lymphatic Endothelial cells response to VEGFC, 01hr00min	3	primary cells	time courses	UBERON:0001473	lymphatic vessel	CL:0002138	endothelial cell of lymphatic vessel	NA	NA
RES00001868	Lymphatic Endothelial cells response to VEGFC, 01hr20min	3	primary cells	time courses	UBERON:0001473	lymphatic vessel	CL:0002138	endothelial cell of lymphatic vessel	NA	NA
RES00001869	Lymphatic Endothelial cells response to VEGFC, 01hr40min	3	primary cells	time courses	UBERON:0001473	lymphatic vessel	CL:0002138	endothelial cell of lymphatic vessel	NA	NA
RES00001870	Lymphatic Endothelial cells response to VEGFC, 02hr00min	3	primary cells	time courses	UBERON:0001473	lymphatic vessel	CL:0002138	endothelial cell of lymphatic vessel	NA	NA
RES00001871	Lymphatic Endothelial cells response to VEGFC, 02hr30min	3	primary cells	time courses	UBERON:0001473	lymphatic vessel	CL:0002138	endothelial cell of lymphatic vessel	NA	NA
RES00001872	Lymphatic Endothelial cells response to VEGFC, 03hr00min	3	primary cells	time courses	UBERON:0001473	lymphatic vessel	CL:0002138	endothelial cell of lymphatic vessel	NA	NA
RES00001873	Lymphatic Endothelial cells response to VEGFC, 03hr30min	3	primary cells	time courses	UBERON:0001473	lymphatic vessel	CL:0002138	endothelial cell of lymphatic vessel	NA	NA
RES00001874	Lymphatic Endothelial cells response to VEGFC, 04hr	3	primary cells	time courses	UBERON:0001473	lymphatic vessel	CL:0002138	endothelial cell of lymphatic vessel	NA	NA
RES00001875	Lymphatic Endothelial cells response to VEGFC, 05hr	3	primary cells	time courses	UBERON:0001473	lymphatic vessel	CL:0002138	endothelial cell of lymphatic vessel	NA	NA
RES00001876	Lymphatic Endothelial cells response to VEGFC, 06hr	3	primary cells	time courses	UBERON:0001473	lymphatic vessel	CL:0002138	endothelial cell of lymphatic vessel	NA	NA
RES00001877	Lymphatic Endothelial cells response to VEGFC, 07hr	3	primary cells	time courses	UBERON:0001473	lymphatic vessel	CL:0002138	endothelial cell of lymphatic vessel	NA	NA
RES00001878	Lymphatic Endothelial cells response to VEGFC, 08hr	3	primary cells	time courses	UBERON:0001473	lymphatic vessel	CL:0002138	endothelial cell of lymphatic vessel	NA	NA
RES00001879	MCF7 breast cancer cell line response to EGF1, 00hr00min	3	cell lines	time courses	UBERON:0001911	mammary gland	CL:0002327	mammary gland epithelial cell	NCIT:C4194	Invasive ductal carcinoma, not otherwise specified
RES00001880	MCF7 breast cancer cell line response to EGF1, 00hr15min	3	cell lines	time courses	UBERON:0001911	mammary gland	CL:0002327	mammary gland epithelial cell	NCIT:C4194	Invasive ductal carcinoma, not otherwise specified
RES00001881	MCF7 breast cancer cell line response to EGF1, 00hr30min	3	cell lines	time courses	UBERON:0001911	mammary gland	CL:0002327	mammary gland epithelial cell	NCIT:C4194	Invasive ductal carcinoma, not otherwise specified
RES00001882	MCF7 breast cancer cell line response to EGF1, 00hr45min	3	cell lines	time courses	UBERON:0001911	mammary gland	CL:0002327	mammary gland epithelial cell	NCIT:C4194	Invasive ductal carcinoma, not otherwise specified
RES00001883	MCF7 breast cancer cell line response to EGF1, 01hr00min	3	cell lines	time courses	UBERON:0001911	mammary gland	CL:0002327	mammary gland epithelial cell	NCIT:C4194	Invasive ductal carcinoma, not otherwise specified
RES00001884	MCF7 breast cancer cell line response to EGF1, 01hr20min	3	cell lines	time courses	UBERON:0001911	mammary gland	CL:0002327	mammary gland epithelial cell	NCIT:C4194	Invasive ductal carcinoma, not otherwise specified
RES00001885	MCF7 breast cancer cell line response to EGF1, 01hr40min	3	cell lines	time courses	UBERON:0001911	mammary gland	CL:0002327	mammary gland epithelial cell	NCIT:C4194	Invasive ductal carcinoma, not otherwise specified
RES00001886	MCF7 breast cancer cell line response to EGF1, 02hr00min	3	cell lines	time courses	UBERON:0001911	mammary gland	CL:0002327	mammary gland epithelial cell	NCIT:C4194	Invasive ductal carcinoma, not otherwise specified
RES00001887	MCF7 breast cancer cell line response to EGF1, 02hr30min	3	cell lines	time courses	UBERON:0001911	mammary gland	CL:0002327	mammary gland epithelial cell	NCIT:C4194	Invasive ductal carcinoma, not otherwise specified
RES00001888	MCF7 breast cancer cell line response to EGF1, 03hr00min	3	cell lines	time courses	UBERON:0001911	mammary gland	CL:0002327	mammary gland epithelial cell	NCIT:C4194	Invasive ductal carcinoma, not otherwise specified
RES00001889	MCF7 breast cancer cell line response to EGF1, 03hr30min	3	cell lines	time courses	UBERON:0001911	mammary gland	CL:0002327	mammary gland epithelial cell	NCIT:C4194	Invasive ductal carcinoma, not otherwise specified
RES00001890	MCF7 breast cancer cell line response to EGF1, 04hr	3	cell lines	time courses	UBERON:0001911	mammary gland	CL:0002327	mammary gland epithelial cell	NCIT:C4194	Invasive ductal carcinoma, not otherwise specified
RES00001891	MCF7 breast cancer cell line response to EGF1, 05hr	3	cell lines	time courses	UBERON:0001911	mammary gland	CL:0002327	mammary gland epithelial cell	NCIT:C4194	Invasive ductal carcinoma, not otherwise specified
RES00001892	MCF7 breast cancer cell line response to EGF1, 06hr	3	cell lines	time courses	UBERON:0001911	mammary gland	CL:0002327	mammary gland epithelial cell	NCIT:C4194	Invasive ductal carcinoma, not otherwise specified
RES00001893	MCF7 breast cancer cell line response to EGF1, 07hr	3	cell lines	time courses	UBERON:0001911	mammary gland	CL:0002327	mammary gland epithelial cell	NCIT:C4194	Invasive ductal carcinoma, not otherwise specified
RES00001894	MCF7 breast cancer cell line response to EGF1, 08hr	3	cell lines	time courses	UBERON:0001911	mammary gland	CL:0002327	mammary gland epithelial cell	NCIT:C4194	Invasive ductal carcinoma, not otherwise specified
RES00001895	MCF7 breast cancer cell line response to HRG, 00hr15min	3	cell lines	time courses	UBERON:0001911	mammary gland	CL:0002327	mammary gland epithelial cell	NCIT:C4194	Invasive ductal carcinoma, not otherwise specified
RES00001896	MCF7 breast cancer cell line response to HRG, 00hr30min	3	cell lines	time courses	UBERON:0001911	mammary gland	CL:0002327	mammary gland epithelial cell	NCIT:C4194	Invasive ductal carcinoma, not otherwise specified
RES00001897	MCF7 breast cancer cell line response to HRG, 00hr45min	3	cell lines	time courses	UBERON:0001911	mammary gland	CL:0002327	mammary gland epithelial cell	NCIT:C4194	Invasive ductal carcinoma, not otherwise specified
RES00001898	MCF7 breast cancer cell line response to HRG, 01hr00min	3	cell lines	time courses	UBERON:0001911	mammary gland	CL:0002327	mammary gland epithelial cell	NCIT:C4194	Invasive ductal carcinoma, not otherwise specified
RES00001899	MCF7 breast cancer cell line response to HRG, 01hr20min	3	cell lines	time courses	UBERON:0001911	mammary gland	CL:0002327	mammary gland epithelial cell	NCIT:C4194	Invasive ductal carcinoma, not otherwise specified
RES00001900	MCF7 breast cancer cell line response to HRG, 01hr40min	3	cell lines	time courses	UBERON:0001911	mammary gland	CL:0002327	mammary gland epithelial cell	NCIT:C4194	Invasive ductal carcinoma, not otherwise specified
RES00001901	MCF7 breast cancer cell line response to HRG, 02hr00min	3	cell lines	time courses	UBERON:0001911	mammary gland	CL:0002327	mammary gland epithelial cell	NCIT:C4194	Invasive ductal carcinoma, not otherwise specified
RES00001902	MCF7 breast cancer cell line response to HRG, 02hr30min	3	cell lines	time courses	UBERON:0001911	mammary gland	CL:0002327	mammary gland epithelial cell	NCIT:C4194	Invasive ductal carcinoma, not otherwise specified
RES00001903	MCF7 breast cancer cell line response to HRG, 03hr00min	3	cell lines	time courses	UBERON:0001911	mammary gland	CL:0002327	mammary gland epithelial cell	NCIT:C4194	Invasive ductal carcinoma, not otherwise specified
RES00001904	MCF7 breast cancer cell line response to HRG, 03hr30min	3	cell lines	time courses	UBERON:0001911	mammary gland	CL:0002327	mammary gland epithelial cell	NCIT:C4194	Invasive ductal carcinoma, not otherwise specified
RES00001905	MCF7 breast cancer cell line response to HRG, 04hr	3	cell lines	time courses	UBERON:0001911	mammary gland	CL:0002327	mammary gland epithelial cell	NCIT:C4194	Invasive ductal carcinoma, not otherwise specified
RES00001906	MCF7 breast cancer cell line response to HRG, 05hr	3	cell lines	time courses	UBERON:0001911	mammary gland	CL:0002327	mammary gland epithelial cell	NCIT:C4194	Invasive ductal carcinoma, not otherwise specified
RES00001907	MCF7 breast cancer cell line response to HRG, 06hr	3	cell lines	time courses	UBERON:0001911	mammary gland	CL:0002327	mammary gland epithelial cell	NCIT:C4194	Invasive ductal carcinoma, not otherwise specified
RES00001908	MCF7 breast cancer cell line response to HRG, 07hr	3	cell lines	time courses	UBERON:0001911	mammary gland	CL:0002327	mammary gland epithelial cell	NCIT:C4194	Invasive ductal carcinoma, not otherwise specified
RES00001909	MCF7 breast cancer cell line response to HRG, 08hr	3	cell lines	time courses	UBERON:0001911	mammary gland	CL:0002327	mammary gland epithelial cell	NCIT:C4194	Invasive ductal carcinoma, not otherwise specified
RES00001910	Macrophage - monocyte derived	3	primary cells	snapshot	UBERON:0000178	blood	CL:0000235	macrophage	NA	NA
RES00001911	Mallassez-derived cells	3	primary cells	snapshot	UBERON:0011595	jaw region	CL:0002166	epithelial cell of Malassez	NA	NA
RES00001912	Mammary Epithelial Cell	3	primary cells	snapshot	UBERON:0001911	mammary gland	CL:0002327	mammary gland epithelial cell	NA	NA
RES00001913	Mast cell, stimulated	1	primary cells	snapshot	UBERON:0002097	skin of body	CL:0000097	mast cell	NA	NA
RES00001914	Mast cell	4	primary cells	snapshot	UBERON:0002097	skin of body	CL:0000097	mast cell	NA	NA
RES00001915	Mast cell, expanded and stimulated	2	primary cells	snapshot	UBERON:0002097	skin of body	CL:0000097	mast cell	NA	NA
RES00001916	Mast cell, expanded	2	primary cells	snapshot	UBERON:0002097	skin of body	CL:0000097	mast cell	NA	NA
RES00001917	Melanocyte - dark	3	primary cells	snapshot	UBERON:0001003	skin epidermis	CL:0002566	dark melanocyte	NA	NA
RES00001918	Melanocyte - light	3	primary cells	snapshot	UBERON:0001003	skin epidermis	CL:0002567	light melanocyte	NA	NA
RES00001919	Melanocyte	3	primary cells	snapshot	UBERON:0001003	skin epidermis	CL:0000148	melanocyte	NA	NA
RES00001920	Meningeal Cells	3	primary cells	snapshot	UBERON:0002360	meninx	CL:0000708	leptomeningeal cell	NA	NA
RES00001921	Mesenchymal Stem Cells - Vertebral	1	primary cells	snapshot	UBERON:0002412	vertebra	CL:0002572	vertebral mesenchymal stem cell	NA	NA
RES00001922	Mesenchymal Stem Cells - Wharton's Jelly	1	primary cells	snapshot	UBERON:0002331	umbilical cord	CL:0002568	mesenchymal stem cell of Wharton's jelly	NA	NA
RES00001923	Mesenchymal Stem Cells - adipose	3	primary cells	snapshot	UBERON:0001013	adipose tissue	CL:0002570	mesenchymal stem cell of adipose	NA	NA
RES00001924	Mesenchymal Stem Cells - amniotic membrane	2	primary cells	snapshot	UBERON:0000305	amnion	CL:0002537	amnion mesenchymal stem cell	NA	NA
RES00001925	Mesenchymal Stem Cells - bone marrow	4	primary cells	snapshot	UBERON:0002371	bone marrow	CL:0002540	mesenchymal stem cell of the bone marrow	NA	NA
RES00001926	Mesenchymal Stem Cells - hepatic	2	primary cells	snapshot	UBERON:0002107	liver	CL:0002571	hepatic mesenchymal stem cell	NA	NA
RES00001927	Mesenchymal Stem Cells - umbilical	3	primary cells	snapshot	UBERON:0003422	mesenchyme of umbilical cord	CL:0002569	mesenchymal stem cell of umbilical cord	NA	NA
RES00001928	Mesenchymal stem cells - adipose	1	primary cells	snapshot	UBERON:0001013	adipose tissue	CL:0002570	mesenchymal stem cell of adipose	NA	NA
RES00001929	Mesenchymal stem cells - hepatic	1	primary cells	snapshot	UBERON:0002107	liver	CL:0002571	hepatic mesenchymal stem cell	NA	NA
RES00001930	Mesenchymal stem cells - umbilical	1	primary cells	snapshot	UBERON:0003422	mesenchyme of umbilical cord	CL:0002569	mesenchymal stem cell of umbilical cord	NA	NA
RES00001931	Mesothelial Cells	3	primary cells	snapshot	UBERON:0001136	mesothelium	CL:0000077	mesothelial cell	NA	NA
RES00001932	Monocyte-derived macrophages response to LPS, 00hr00min	3	primary cells	time courses	UBERON:0000178	blood	CL:0000235	macrophage	NA	NA
RES00001933	Monocyte-derived macrophages response to LPS, 00hr15min	3	primary cells	time courses	UBERON:0000178	blood	CL:0000235	macrophage	NA	NA
RES00001934	Monocyte-derived macrophages response to LPS, 00hr30min	3	primary cells	time courses	UBERON:0000178	blood	CL:0000235	macrophage	NA	NA
RES00001935	Monocyte-derived macrophages response to LPS, 00hr45min	3	primary cells	time courses	UBERON:0000178	blood	CL:0000235	macrophage	NA	NA
RES00001936	Monocyte-derived macrophages response to LPS, 01hr00min	3	primary cells	time courses	UBERON:0000178	blood	CL:0000235	macrophage	NA	NA
RES00001937	Monocyte-derived macrophages response to LPS, 01hr20min	3	primary cells	time courses	UBERON:0000178	blood	CL:0000235	macrophage	NA	NA
RES00001938	Monocyte-derived macrophages response to LPS, 01hr40min	3	primary cells	time courses	UBERON:0000178	blood	CL:0000235	macrophage	NA	NA
RES00001939	Monocyte-derived macrophages response to LPS, 02hr00min	3	primary cells	time courses	UBERON:0000178	blood	CL:0000235	macrophage	NA	NA
RES00001940	Monocyte-derived macrophages response to LPS, 02hr30min	3	primary cells	time courses	UBERON:0000178	blood	CL:0000235	macrophage	NA	NA
RES00001941	Monocyte-derived macrophages response to LPS, 03hr00min	3	primary cells	time courses	UBERON:0000178	blood	CL:0000235	macrophage	NA	NA
RES00001942	Monocyte-derived macrophages response to LPS, 03hr30min	3	primary cells	time courses	UBERON:0000178	blood	CL:0000235	macrophage	NA	NA
RES00001943	Monocyte-derived macrophages response to LPS, 04hr	3	primary cells	time courses	UBERON:0000178	blood	CL:0000235	macrophage	NA	NA
RES00001944	Monocyte-derived macrophages response to LPS, 05hr	3	primary cells	time courses	UBERON:0000178	blood	CL:0000235	macrophage	NA	NA
RES00001945	Monocyte-derived macrophages response to LPS, 06hr	3	primary cells	time courses	UBERON:0000178	blood	CL:0000235	macrophage	NA	NA
RES00001946	Monocyte-derived macrophages response to LPS, 07hr	3	primary cells	time courses	UBERON:0000178	blood	CL:0000235	macrophage	NA	NA
RES00001947	Monocyte-derived macrophages response to LPS, 08hr	3	primary cells	time courses	UBERON:0000178	blood	CL:0000235	macrophage	NA	NA
RES00001948	Monocyte-derived macrophages response to LPS, 10hr	3	primary cells	time courses	UBERON:0000178	blood	CL:0000235	macrophage	NA	NA
RES00001949	Monocyte-derived macrophages response to LPS, 12hr	3	primary cells	time courses	UBERON:0000178	blood	CL:0000235	macrophage	NA	NA
RES00001950	Monocyte-derived macrophages response to LPS, 14hr	3	primary cells	time courses	UBERON:0000178	blood	CL:0000235	macrophage	NA	NA
RES00001951	Monocyte-derived macrophages response to LPS, 16hr	3	primary cells	time courses	UBERON:0000178	blood	CL:0000235	macrophage	NA	NA
RES00001952	Monocyte-derived macrophages response to LPS, 18hr	3	primary cells	time courses	UBERON:0000178	blood	CL:0000235	macrophage	NA	NA
RES00001953	Monocyte-derived macrophages response to LPS, 20hr	3	primary cells	time courses	UBERON:0000178	blood	CL:0000235	macrophage	NA	NA
RES00001954	Monocyte-derived macrophages response to LPS, 22hr	3	primary cells	time courses	UBERON:0000178	blood	CL:0000235	macrophage	NA	NA
RES00001955	Monocyte-derived macrophages response to LPS, 24hr	3	primary cells	time courses	UBERON:0000178	blood	CL:0000235	macrophage	NA	NA
RES00001956	Monocyte-derived macrophages response to LPS, 36hr	3	primary cells	time courses	UBERON:0000178	blood	CL:0000235	macrophage	NA	NA
RES00001957	Monocyte-derived macrophages response to LPS, 48hr	2	primary cells	time courses	UBERON:0000178	blood	CL:0000235	macrophage	NA	NA
RES00001958	Monocyte-derived macrophages response to mock influenza infection, 00hr00min	4	primary cells	time courses	UBERON:0000178	blood	CL:0000235	macrophage	NA	NA
RES00001959	Monocyte-derived macrophages response to mock influenza infection, 24hr00min	4	primary cells	time courses	UBERON:0000178	blood	CL:0000235	macrophage	NA	NA
RES00001960	Monocyte-derived macrophages response to udorn influenza infection, 00hr00min	4	primary cells	time courses	UBERON:0000178	blood	CL:0000235	macrophage	NA	NA
RES00001961	Monocyte-derived macrophages response to udorn influenza infection, 02hr00min	4	primary cells	time courses	UBERON:0000178	blood	CL:0000235	macrophage	NA	NA
RES00001962	Monocyte-derived macrophages response to udorn influenza infection, 07hr00min	4	primary cells	time courses	UBERON:0000178	blood	CL:0000235	macrophage	NA	NA
RES00001963	Monocyte-derived macrophages response to udorn influenza infection, 24hr00min	4	primary cells	time courses	UBERON:0000178	blood	CL:0000235	macrophage	NA	NA
RES00001964	Multipotent Cord Blood Unrestricted Somatic Stem Cells	2	primary cells	snapshot	UBERON:0002331	umbilical cord	CL:0002569	mesenchymal stem cell of umbilical cord	NA	NA
RES00001965	Myoblast differentiation to myotubes, day00, Duchenne Muscular Dystrophy	3	primary cells	time courses	UBERON:0001134	skeletal muscle tissue	CL:0002372	myotube	NCIT:C75482	Duchenne Muscular Dystrophy
RES00001966	Myoblast differentiation to myotubes, day00, control	3	primary cells	time courses	UBERON:0001134	skeletal muscle tissue	CL:0000515	skeletal muscle myoblast	NA	NA
RES00001967	Myoblast differentiation to myotubes, day01, Duchenne Muscular Dystrophy	3	primary cells	time courses	UBERON:0001134	skeletal muscle tissue	CL:0002372	myotube	NCIT:C75482	Duchenne Muscular Dystrophy
RES00001968	Myoblast differentiation to myotubes, day01, control	3	primary cells	time courses	UBERON:0001134	skeletal muscle tissue	CL:0002372	myotube	NA	NA
RES00001969	Myoblast differentiation to myotubes, day02, Duchenne Muscular Dystrophy	3	primary cells	time courses	UBERON:0001134	skeletal muscle tissue	CL:0002372	myotube	NCIT:C75482	Duchenne Muscular Dystrophy
RES00001970	Myoblast differentiation to myotubes, day02, control	3	primary cells	time courses	UBERON:0001134	skeletal muscle tissue	CL:0002372	myotube	NA	NA
RES00001971	Myoblast differentiation to myotubes, day03, Duchenne Muscular Dystrophy	2	primary cells	time courses	UBERON:0001134	skeletal muscle tissue	CL:0002372	myotube	NCIT:C75482	Duchenne Muscular Dystrophy
RES00001972	Myoblast differentiation to myotubes, day03, control	3	primary cells	time courses	UBERON:0001134	skeletal muscle tissue	CL:0002372	myotube	NA	NA
RES00001973	Myoblast differentiation to myotubes, day04, Duchenne Muscular Dystrophy	3	primary cells	time courses	UBERON:0001134	skeletal muscle tissue	CL:0002372	myotube	NCIT:C75482	Duchenne Muscular Dystrophy
RES00001974	Myoblast differentiation to myotubes, day04, control	3	primary cells	time courses	UBERON:0001134	skeletal muscle tissue	CL:0002372	myotube	NA	NA
RES00001975	Myoblast differentiation to myotubes, day06, Duchenne Muscular Dystrophy	3	primary cells	time courses	UBERON:0001134	skeletal muscle tissue	CL:0002372	myotube	NCIT:C75482	Duchenne Muscular Dystrophy
RES00001976	Myoblast differentiation to myotubes, day06, control	3	primary cells	time courses	UBERON:0001134	skeletal muscle tissue	CL:0002372	myotube	NA	NA
RES00001977	Myoblast differentiation to myotubes, day08, Duchenne Muscular Dystrophy	3	primary cells	time courses	UBERON:0001134	skeletal muscle tissue	CL:0002372	myotube	NCIT:C75482	Duchenne Muscular Dystrophy
RES00001978	Myoblast differentiation to myotubes, day08, control	3	primary cells	time courses	UBERON:0001134	skeletal muscle tissue	CL:0002372	myotube	NA	NA
RES00001979	Myoblast differentiation to myotubes, day10, Duchenne Muscular Dystrophy	3	primary cells	time courses	UBERON:0001134	skeletal muscle tissue	CL:0002372	myotube	NCIT:C75482	Duchenne Muscular Dystrophy
